hospital_id;eps_id;;;;;;
1;1;;;;;;
2;1;;;;;;
2;6;;;;;;
3;1;;;;;;
3;3;;;;;;
4;1;;;;;;
5;1;;;;;;
5;2;;;;;;
5;4;;;;;;
5;7;;;;;;
6;1;;;;;;
7;1;;;;;;
7;6;;;;;;
8;1;;;;;;
8;7;;;;;;
9;1;;;;;;
9;2;;;;;;
10;2;;;;;;
11;2;;;;;;
12;2;;;;;;
12;3;;;;;;
12;6;;;;;;
13;2;;;;;;
13;3;;;;;;
13;6;;;;;;
14;2;;;;;;
14;3;;;;;;
14;6;;;;;;
15;2;;;;;;
16;2;;;;;;
16;3;;;;;;
17;2;;;;;;
17;3;;;;;;
17;4;;;;;;
17;5;;;;;;
18;2;;;;;;
18;5;;;;;;
19;2;;;;;;
19;4;;;;;;
20;2;;;;;;
20;3;;;;;;
20;4;;;;;;
20;5;;;;;;
20;6;;;;;;
21;3;;;;;;
22;3;;;;;;
22;5;;;;;;
22;6;;;;;;
23;3;;;;;;
23;4;;;;;;
24;3;;;;;;
25;4;;;;;;
25;6;;;;;;
26;4;;;;;;
27;5;;;;;;
28;5;;;;;;
29;6;;;;;;
30;6;;;;;;
31;6;;;;;;
32;6;;;;;;
33;7;;;;;;
34;7;;;;;;
35;7;;;;;;
36;7;;;;;;
37;7;;;;;;
38;7;;;;;;
39;7;;;;;;
40;7;;;;;;
