id;nombre;direccion;latitud;longitud
1;Hospital Universitario Mayor - Méredi;Calle 24 # 29-45;4.6233209;-74.0827057
2;La Cardio;Calle 163 A # 13B – 60;4.7416801;-74.0345807
3;Clínica Infantil Colsubsidio;Calle 67 # 10-67;4.652302;-74.0610051
4;Clínica Ciudad Roma Colsubsidio;Calle 53 Sur # 79 D-71;4.6152087;-74.172464
5;Sociedad de Cirugía de Bogotá - Hospital  de San José;Calle 10 # 18-75;4.6029766;-74.086731
6;Hospital Universitario Nacional de Colombia;Calle 44 # 59-75;4.6484887;-74.095214
7;Instituto Roosevelt;Carrera 4 Este # 17-50;4.5986357;-74.0642935
8;HOMI Hospital Pediátrico;Av. Caracas # 1-65;4.5930283;-74.0884209
9;Clínica Medical;Calle 36 Sur # 78-25;4.6221429;-74.1498471
10;Unidad de Urgencias Puente Aranda;Carrera 62 # 14-41;4.6346542;-74.1138826
11;Unidad de Urgencias Toberín;Calle 163A # 22-22;4.7443212;-74.0464768
12;Cruz Roja Colombiana - Sede Norte;Carrera 7B Bis #132-31;4.7109011;-74.0302357
13;Cruz Roja Colombiana - Sede Alquería;Avenida 68 # 31;46068708;-74.130899
14;Cruz Roja Colombiana - Sede Avenida Carrera 68;Avenida 68 # 68B-31;4.6727689;-74.1244442
15;Clínica Infantil Santa María del Lago;Calle 73A # 76-66;4.6922817;-74.0980815
16;Corporación Hospitalaria Juan Ciudad;Calle 24 # 29-45;4.6235785;-74.0819586
17;Clínica Juan N. Corpas;Carrera 111 # 159A-61;4.7614299;-74.0924398
18;Clínica del Occidente;Avenida de las Américas # 71C-29;4.6294743;-74.135747
19;Fundación Hospital San Carlos;Carrera 12D # 32-44 Sur;4.5708494;-74.1072001
20;Hospital Universitario Clínica San Rafael;Carrera 8 # 17-45 Sur;4.5767107;-74.0912065
21;Clínica Nueva;Calle 45F # 16A-11;4.6342448;-74.0709708
22;Clínica Palermo;Calle 45C # 22-02;4.6360356;-74.0738088
23;Hospital Infantil Universitario de San José;Carrera 52 # 67A-71 ;4.6652513;-74.078525
24;Hospital Universatario San Ignacio;Carrera 7 # 40-62;4.6284688;-74.0643026
25;Clínica Shaio;Diagonal 115A #70C-75 ;4.6982516;-74.0730753
26;Hospital Cardiovascular del Niño de Cundinamarca;Carrera 4ra Este #31-88;4.5823769;-74.2004478
27;Hospital Meissen;Calle 60G Sur #Bis Sur;4.5595065;-74.1384717
28;Hospital Materno Infantil - SCO;Carrera 10 # 1-66 Sur;4.5882307;-74.0853965
29;Los Cobos Medical Center;Carrera 9 # 131A-40;4.7106206;-74.0322959
30;Clínica de la Mujer;Carrera 19C # 91- 17;4.6776725;-74.0572582
31;Clínica de Marly;Calle 50 # 9 – 67;4.6367632;-74.1000764
32;Fundación Santa Fe de Bogotá;Carrera 7 #117-15;4.6954125;-74.0330228
33;Hospital El Tunal;Carrera 20 # 47B – 35 Sur;4.5720138;-74.1303462
34;Hospital Simón Bolívar;Calle 165 # 7– 06 ;4.7426182;-74.0230077
35;Hospital de Bosa;Calle 73 Sur #KR 103;4.635138;-74.2059701
36;Hospital de Fontibón;Carrera 99 # 16I – 41 ;4.6716675;-74.1463429
37;Hospital de Kennedy;Av. 1 de Mayo # 40B – 54 Sur;4.6165239;-74.1533192
38;Centro Policlínico del Olaya;Carrera 20 # 23 – 23 Sur;4.5836947;-74.1050608
39;Hospital San Blas;Transversal 5 Este # 19 – 50 Sur;4.5697384;-74.0835065
40;Hospital Santa Clara;Carrera 14B # 1 – 45 Sur;4.591307;-74.0920058
